CO_CNES;NO_RAZAO_SOCIAL;NO_FANTASIA;CO_ESTADO_GESTOR;CO_MUNICIPIO_GESTOR;NU_LATITUDE;NU_LONGITUDE
2001160;PREFEITURA MUNICIPAL DE TARAUACA;POSTO DE SAUDE SACADO;12;120060;;
2001179;PREFEITURA MUNICIPAL DE TARAUACA;POSTO DE SAUDE ESPERANCA;12;120060;;
2001195;PREFEITURA MUNICIPAL DE TARAUACA;POSTO DE SAUDE JOACI;12;120060;;
0748102;DESAFIO JOVEM PENIEL;DESAFIO JOVEM PENIEL;12;120040;-997.228;-6.781.632
9921060;R MOTA DIOGENES;COERB;12;120040;-9.958.641;-67.806.800
0983101;DENTAL BABY SERVICOS ODONTOLOGICOS LTDA;DENTAL BABY SERVICOS ODONTOLOGICOS LTDA;12;120040;-99.665.252;-678.307.419
2851814;RENY ARAUJO PEREIRA GOMES;RENY ARAUJO PEREIRA GOMES;12;120040;-996.413;-6.782.254
0985589;CLINICA VITALLE LTDA;CLINICA VITALLE;12;120020;-761.827.206.613.257;-7.268.350.839.614.860
2822679;EDUARDO JOSE SOARES HADAD;EDUARDO JOSE SOARES HADAD;12;120040;-99.809.346;-678.706.663
2841096;ANA RITA CANOVAS DO PRADO CARNEIRO;ANA RITA CANOVAS DO PRADO CARNEIRO;12;120040;-98.322.456;-679.521.091
2827301;MARCELUS ANTONIO MOTTA PRADO DE NEGREIROS;MARCELUS ANTONIO MOTTA PRADO DE NEGREIROS;12;120040;-99.606.838;-678.502.078
2842432;DENTISTA DA FAMILIA CLINICA ODONTOLOGIA LTDA;DENTISTA DA FAMILIA;12;120040;-99.732.073;-678.078.011
9043489;PREFEITURA MUNICIPAL DE SENA MADUREIRA;ACADEMIA DA SAUDE RICIOTT TAMBURINI;12;120050;-9.065.080.302.519.950;-6.865.253.448.486.320
9166475;OBRA SOCIAL NS DA GLORIA FAZENDA DA ESPERANCA;FAZENDA DA ESPERANCA DOM LUIS HERBST;12;120033;-762.320.627.680.061;-7.293.926.239.013.670
0771465;E A VIANA E SILVA;CLINICA DE GINECOLOGIA E OBSTETRICIA DR EDUARDO ALENCAR;12;120040;-996.116;-6.780.905
0783722;SECRETARIA MUNICIPAL DE SAUDE;UNIDADE BASICA JOSE SOUZA CORREIA;12;120042;-7.853.688.998.151.520;-7.273.530.721.664.420
9830464;MUNICIPIO DE BRASILEIA;ESF ANTONIO CORREIA DA CRUZ;12;120010;-10.899.137.833.418.700;-6.888.916.969.299.310
9909451;G A DE MIRANDA;POPCLIN;12;120040;-9.978.767;-67.804.753
9907866;ARNALDO THOMAZ CORDEIRO BARBOSA;ARNALDO THOMAZ CORDEIRO BARBOSA;12;120040;-996.078;-6.780.988
0837822;MUNICIPIO DE MANCIO LIMA;UBS MARIA RODRIGUES DE MATOS;12;120033;-7.649.032.856.990.040;-7.285.736.918.449.400
0843423;J CRUZ LTDA;FARMACIA DO CONSUMIDOR;12;120040;-997.171;-6.780.544
0847011;J CRUZ LTDA;FARMACIA DO CONSUMIDOR;12;120040;-9.959.712;-67.821.335
0859648;R V SERVICOS MEDICOS LTDA;CLINMED;12;120040;-996.315;-6.781.561
0845922;J CRUZ LTDA;DROGARIA POPULAR I;12;120040;-997.378;-6.780.366
0902357;CENTRO PEDIATRICO MATER DEI LTDA;CENTRO PEDIATRICO MATER DEI;12;120040;-99.445.122;-678.010.516
9389814;R M DE ANDRADE;SORRISO METALICO;12;120040;-996.055;-6.781.582
2003287;MUNICIPIO DE RIO BRANCO;USF MARIANO GONZAGA;12;120040;-998.406;-6.788.307
6003427;JOAO CORREIA LIMA FILHO;JOAO CORREIA LIMA FILHO;12;120020;;
6359272;PREFEITURA MUNICIPAL DE TARAUACA;SECRETARIA MUNICIPAL DE SAUDE DE TARAUACA;12;120060;-8.161.212;-70.766.312
7671679;CLINICA DO RIM CONVENIOS LTDA;CLINICA DO RIM CONVENIOS LTDA;12;120040;-996.596;-6.781.621
9370099;LABAC LABORATORIO DE ANALISES CLINICAS LTDA ME;LABAC LABORATORIO DE ANALISES CLINICAS;12;120013;-9.831;-67.952
9524517;INSTITUTO HUMANITAS ATENDIMENTO DESENVOLVIMENTO ESTUDO E P;INSTITUTO HUMANITAS;12;120040;-996.331;-6.782.580
9527974;PREVINNI SERVICOS MEDICOS LTDA;CLINICA PREVINNI;12;120040;-994.865;-6.782.134
9722556;SINDOR SERVICO INTERDISCIPLINAR DE CONTROLE DA DOR LTDA;SINDOR;12;120040;-996.317;-6.781.521
9988084;DOC HEALTH CHECK UP MEDICINA PREVENTIVA LTDA;CLINICA DO NORTE;12;120020;-7.634.499.450.043.430;-7.267.295.122.146.600
9967168;GABRIELA DOS SANTOS LAZZARE;GABRIELA DOS SANTOS LAZZARE;12;120040;-994.635;-6.786.308
9908439;CEDRO CLINICA DE ELETROACUPUNTURA E DOR REIS DO ORIENTE LT;CEDRO CLINICA DE ELETROACUPUNTURA E DOR REIS DO ORIENTE;12;120040;-995.915;-6.781.290
