ESTADO;MUNICIPIO;DESCRICAO;UF
ACRE;120000;AC;12
ACRELANDIA;120001;AC;12
ASSIS BRASIL;120005;AC;12
BRASILEIA;120010;AC;12
BUJARI;120013;AC;12
CAPIXABA;120017;AC;12
CRUZEIRO DO SUL;120020;AC;12
EPITACIOLANDIA;120025;AC;12
FEIJO;120030;AC;12
JORDAO;120032;AC;12
MANCIO LIMA;120033;AC;12
MANOEL URBANO;120034;AC;12
MARECHAL THAUMATURGO;120035;AC;12
PLACIDO DE CASTRO;120038;AC;12
PORTO ACRE;120080;AC;12
PORTO WALTER;120039;AC;12
RIO BRANCO;120040;AC;12
RODRIGUES ALVES;120042;AC;12
SANTA ROSA DO PURUS;120043;AC;12
SENA MADUREIRA;120050;AC;12
SENADOR GUIOMARD;120045;AC;12
TARAUACA;120060;AC;12
XAPURI;120070;AC;12
