SEXO;IDADE;RENDA;CODCBO;PROFISSAO;ESTADO_CIVIL
M;38;1006,40;782305;MOTORISTA DE CARRO DE PASSEIO;SOLTEIRO(A)
M;44;5004,67;313105;ELETROTECNICO;SEPARADO(A) JUDICIALMENTE
M;46;1755,56;521105;VENDEDOR EM COMERCIO ATACADIST;SEPARADO(A) JUDICIALMENTE
M;34;1981,77;411010;ASSISTENTE ADMINISTRATIVO;CASADO(A)
M;41;1597,50;521105;VENDEDOR EM COMERCIO ATACADIST;OUTROS
M;37;11144,54;142405;GERENTE DE COMPRAS;CASADO(A)
M;58;964,86;521105;VENDEDOR EM COMERCIO ATACADIST;CASADO(A)
F;38;5265,78;253115;AGENTE PUBLICITARIO;SOLTEIRO(A)
M;43;10243,46;142705;GERENTE DE PROJETOS E SERVICOS DE MANUTE;CASADO(A)
M;34;800,00;514310;AUXILIAR DE MANUTENCAO PREDIAL;SOLTEIRO(A)
M;47;9765,24;142520;GERENTE DE PROJ DE TEC DA INFORMAÇÃO;CASADO(A)
M;76;5242,22;521105;VENDEDOR EM COMERCIO ATACADIST;CASADO(A)
M;62;1536,89;521105;VENDEDOR EM COMERCIO ATACADIST;SOLTEIRO(A)
M;37;1300,00;411005;AUXILIAR DE ESCRITORIO, EM GER;SOLTEIRO(A)
M;41;1010,49;411010;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A)
M;48;2936,08;914425;MECANICO DE VEICULOS AUTOMOTOR;SOLTEIRO(A)
F;40;2273,07;521105;VENDEDOR EM COMERCIO ATACADIST;SOLTEIRO(A)
M;58;997,50;782510;MOTORISTA DE CAMINHAO;CASADO(A)
F;33;900,00;411005;AUXILIAR DE ESCRITORIO, EM GER;SOLTEIRO(A)
M;49;6171,40;142305;GERENTE COMERCIAL;CASADO(A)
M;39;1800,00;521105;VENDEDOR EM COMERCIO ATACADIST;CASADO(A)
M;63;1951,18;354205;COMPRADOR;CASADO(A)
M;35;800,00;514310;AUXILIAR DE MANUTENCAO PREDIAL;SOLTEIRO(A)
F;39;1291,18;411010;ASSISTENTE ADMINISTRATIVO;CASADO(A)
M;38;2234,07;951105;ELETRICISTA DE MANUTENCAO, GER;CASADO(A)
M;33;1291,20;411010;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A)
F;33;940,43;422105;RECEPCIONISTA, EM GERAL;SOLTEIRO(A)
M;74;4150,60;142320;GERENTE DE VENDAS;CASADO(A)
M;30;979,78;914425;MECANICO DE VEICULOS AUTOMOTOR;SOLTEIRO(A)
M;43;1149,00;914425;MECANICO DE VEICULOS AUTOMOTOR;CASADO(A)
M;58;1731,44;521105;VENDEDOR EM COMERCIO ATACADIST;OUTROS
M;53;2860,07;411010;ASSISTENTE ADMINISTRATIVO;CASADO(A)
F;34;1418,29;411010;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A)
M;47;11580,15;142705;GERENTE DE PROJETOS E SERVICOS DE MANUTE;SOLTEIRO(A)
F;37;1939,44;411010;ASSISTENTE ADMINISTRATIVO;CASADO(A)
M;59;6966,68;520110;SUPERVISOR DE VENDAS COMERCIAL;SOLTEIRO(A)
F;34;900,00;0;SEM CBO;SOLTEIRO(A)
M;35;1624,17;411005;AUXILIAR DE ESCRITORIO, EM GER;SOLTEIRO(A)
M;34;5226,16;142705;GERENTE DE PROJETOS E SERVICOS DE MANUTE;SEPARADO(A) JUDICIALMENTE
F;33;900,00;0;SEM CBO;SOLTEIRO(A)
M;62;8676,00;122405;DIRETOR DE OPERACOES COMERCIAI;CASADO(A)
M;34;2692,64;521105;VENDEDOR EM COMERCIO ATACADIST;CASADO(A)
F;40;998,00;512105;EMPREGADO DOMESTICO;SOLTEIRO(A)
M;66;2000,00;411005;AUXILIAR DE ESCRITORIO, EM GER;OUTROS
M;46;2385,34;782220;OPERADOR DE EMPILHADEIRA;CASADO(A)
M;43;2500,00;910205;SUPERVISOR DA MANUTENÇÃO E REPARAÇ;CASADO(A)
M;43;2485,01;521105;VENDEDOR EM COMERCIO ATACADIST;CASADO(A)
M;44;1394,30;914425;MECANICO DE VEICULOS AUTOMOTOR;OUTROS
M;40;2608,71;521105;VENDEDOR EM COMERCIO ATACADIST;CASADO(A)
M;33;2926,17;411010;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A)
M;50;3304,17;212405;ANALISTA DE SISTEMA;SOLTEIRO(A)
M;35;1494,88;318705;DESENHISTA PROJETISTA DE ELETR;SOLTEIRO(A)
F;54;3448,97;411010;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A)
F;52;1174,78;411005;AUXILIAR DE ESCRITORIO, EM GER;CASADO(A)
F;29;413,34;411005;AUXILIAR DE ESCRITORIO, EM GER;SOLTEIRO(A)
M;38;2382,75;521105;VENDEDOR EM COMERCIO ATACADIST;CASADO(A)
