SEXO;IDADE;RENDA;PERFIL_CONSUMIDOR_A;PERFIL_CONSUMIDOR_B;PERFIL_CONSUMIDOR_C;ESTADO_CIVIL_CASADO(A);ESTADO_CIVIL_DESQUITADO(A);ESTADO_CIVIL_DIVORCIADO(A);ESTADO_CIVIL_OUTROS;ESTADO_CIVIL_SEPARADO(A) JUDICIALMENTE;ESTADO_CIVIL_SOLTEIRO(A);AREA_CBO_0;AREA_CBO_1;AREA_CBO_2;AREA_CBO_3;AREA_CBO_4;AREA_CBO_5;AREA_CBO_6;AREA_CBO_7;AREA_CBO_8;AREA_CBO_9
0;-0.045363190002033205;-0.7557873868540548;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
0;0.5090456171485633;0.614722106228511;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
0;0.6938485528654289;-0.4989936005820585;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
0;-0.41496906143576423;-0.42145432673856936;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
0;0.23184121357326506;-0.5531727156684909;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
0;-0.13776465786046596;2.7193198750867555;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
0;1.802666167166622;-0.770026286263712;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
1;-0.045363190002033205;0.7042242493401037;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
0;0.4166441492901306;2.4104516160580154;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
0;-0.41496906143576423;-0.8265362755914942;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
0;0.7862500207238616;2.2465294572788577;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
0;3.4658925886184115;0.6961484556450745;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
0;2.172272038600353;-0.5739483462226391;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
0;-0.13776465786046596;-0.6551484637275423;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
0;0.23184121357326506;-0.7543854345530078;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
