SEXO;IDADE;RENDA;PROFISSAO;ESTADO_CIVIL;;
F;23;3314;ADMINISTRADOR;SEPARADO(A) JUDICIALMENTE;;
M;39;834;ADMINISTRADOR;SOLTEIRO(A);;
M;58;2017;ADMINISTRADOR;CASADO(A);;
M;39;4288;ADMINISTRADOR;SEPARADO(A) JUDICIALMENTE;;
M;28;2824;ADMINISTRADOR;SOLTEIRO(A);;
M;37;1419;ADMINISTRADOR;SOLTEIRO(A);;
M;26;3559;ADMINISTRADOR;SOLTEIRO(A);;
M;34;4262;ADVOGADO DE EMPRESA;CASADO(A);;
M;33;4453;ADVOGADO DE EMPRESA;SOLTEIRO(A);;
M;34;2217;ADVOGADO DE EMPRESA;SOLTEIRO(A);;
F;27;4453;ADVOGADO DE EMPRESA;SOLTEIRO(A);;
F;26;5829;ADVOGADO DE EMPRESA;SOLTEIRO(A);;
F;35;1951;ADVOGADO DE EMPRESA;SOLTEIRO(A);;
F;27;3326;ADVOGADO DE EMPRESA;SOLTEIRO(A);;
F;28;2631;ADVOGADO DE EMPRESA;SOLTEIRO(A);;
F;41;13764;ADVOGADO DE EMPRESA;OUTROS;;
F;43;2571;ADVOGADO DE EMPRESA;SOLTEIRO(A);;
F;43;5716;ADVOGADO DE EMPRESA;CASADO(A);;
M;37;2974;AGENTE PUBLICITARIO;SOLTEIRO(A);;
M;28;4310;AGENTE PUBLICITARIO;SOLTEIRO(A);;
F;38;4590;AGENTE PUBLICITARIO;SOLTEIRO(A);;
M;41;2237;AGENTE PUBLICITARIO;SOLTEIRO(A);;
F;32;4124;AGENTE PUBLICITARIO;CASADO(A);;
M;37;2974;AGENTE PUBLICITARIO;SOLTEIRO(A);;
F;33;5323;AGENTE PUBLICITARIO;SOLTEIRO(A);;
F;36;2874;AGENTE PUBLICITARIO;OUTROS;;
M;28;4590;AGENTE PUBLICITARIO;SOLTEIRO(A);;
F;30;4590;AGENTE PUBLICITARIO;SOLTEIRO(A);;
M;34;2501;AGENTE PUBLICITARIO;SOLTEIRO(A);;
M;37;8741;AGENTE PUBLICITARIO;SOLTEIRO(A);;
F;38;5265;AGENTE PUBLICITARIO;SOLTEIRO(A);;
M;31;2719;AGENTE PUBLICITARIO;SOLTEIRO(A);;
F;32;3004;AGENTE PUBLICITARIO;OUTROS;;
F;33;4124;AGENTE PUBLICITARIO;SOLTEIRO(A);;
M;28;1531;ALMOXARIFE;SOLTEIRO(A);;
M;31;2139;ALMOXARIFE;SOLTEIRO(A);;
M;28;1176;ALMOXARIFE;SOLTEIRO(A);;
M;25;1501;ALMOXARIFE;SOLTEIRO(A);;
M;27;2037;ALMOXARIFE;SOLTEIRO(A);;
M;38;1942;ALMOXARIFE;SOLTEIRO(A);;
M;22;1611;ALMOXARIFE;SOLTEIRO(A);;
